1,ebi (shrimp)
2,anago (sea eel)
3,maguro (tuna)
4,ika (squid)
5,uni (sea urchin)
6,tako (octopus)
7,ikura (salmon roe)
8,tamago (egg)
9,toro (fatty tuna)
10,amaebi (AMA shrimp)
11,hotategai (scallop)
12,tai (sea bream)
13,akagai (ark shell)
14,hamachi (young yellowtail)
15,awabi (abalone)
16,samon (salmon)
17,kazunoko (herring roe)
18,shako (squilla)
19,saba (mackerel)
20,chu_toro (mildly_fatty tuna)
21,hirame (flatfish)
22,aji (horse mackerel)
23,kani (crab)
24,kohada (medium_sized KONOSHIRO gizzard shad)
25,torigai (TORI_clam)
26,unagi (eel)
27,tekka_maki (tuna roll)
28,kanpachi (amberjack)
29,mirugai (MIRU_clam)
30,kappa_maki (cucumber roll)
31,geso (squid feet)
32,katsuo (oceanic bonito)
33,iwashi (sardine)
34,hokkigai (HOKKI-clam)
35,shimaaji (hardtail)
36,kanimiso (crab liver)
37,engawa (flesh from around the base of the dorsal and ventral fins of a flounder or flatfish)
38,negi_toro (fatty flesh of tuna minced to a paste and mixed with chopped green leaves of Welsh onions)
39,nattou_maki (fermented bean roll)
40,sayori (halfbeak)
41,takuwan_maki (DAIKON pickles roll)
42,botanebi (BOTAN shrimp)
43,tobiko (flying fish roe)
44,inari (fried tofu wrapper)
45,mentaiko (chili cod roe)
46,sarada (salad)
47,suzuki (sea bass)
48,tarabagani (king crab)
49,ume_shiso_maki (pickled plum & perilla leaf roll)
50,komochi_konbu (herring roe & sea tangle)
51,tarako (cod roe)
52,sazae (turban shell)
53,aoyagi (meat of a trough shell)
54,toro_samon (fatty tuna & salmon)
55,sanma (Pacific saury)
56,hamo (pike conger)
57,nasu (egg plant)
58,shirauo (Japanese icefish)
59,nattou (fermented bean)
60,ankimo (angler liver)
61,kanpyo_maki (pickled gourd_maki)
62,negi_toro_maki (roll style of no.37)
63,gyusashi (raw beef)
64,hamaguri (clam)
65,basashi (raw horse meat)
66,fugu (blowfish)
67,tsubugai (TSUBU_shell)
68,ana_kyu_maki (sea eel & cucumber roll)
69,hiragai (=tairagi; pen shell)
70,okura (gumbo)
71,ume_maki (pickled plum roll)
72,sarada_maki (salad roll)
73,mentaiko_maki (chili cod roe roll)
74,buri (yellowtail)
75,shiso_maki (perilla leaf roll)
76,ika_nattou (squid & fermented bean)
77,zuke (tuna pickled in soy sauce)
78,himo (part of clam)
79,kaiware (DAIKON radish sprouts)
80,kurumaebi (prawn)
81,mekabu (part of tangle)
82,kue (kind of cabrilla)
83,sawara (Japanese Spanish mackerel)
84,sasami (kind of raw chicken)
85,kujira (whale)
86,kamo (wild duck)
87,himo_kyu_maki (part of clam & cucumber roll)
88,tobiuo (flying fish)
89,ishigakidai (ishigaki sea bream)
90,mamakari (Japanese scaled sardine)
91,hoya (ascidian)
92,battera (OSHIZUSHI style mackerel)
93,kyabia (caviar)
94,karasumi (dried mullet roe)
95,uni_kurage (sea urchin & jellyfish)
96,karei (flounder)
97,hiramasa (something like amberjack)
98,namako (sea cucumber)
99,shishamo (smelt)
100,kaki (oyster)