State,City,Latitude,Longitude
Alabama,Montgomery,32.377716,-86.300568
Alaska,Juneau,58.301598,-134.420212
Arizona,Phoenix,33.448143,-112.096962
Arkansas,Little Rock,34.746613,-92.288986
California,Sacramento,38.576668,-121.493629
Colorado,Denver,39.739227,-104.984856
Connecticut,Hartford,41.764046,-72.682198
Delaware,Dover,39.157307,-75.519722
Hawaii,Honolulu,21.307442,-157.857376
Florida,Tallahassee,30.438118,-84.281296
Georgia,Atlanta,33.749027,-84.388229
Idaho,Boise,43.617775,-116.199722
Illinois,Springfield,39.798363,-89.654961
Indiana,Indianapolis,39.768623,-86.162643
Iowa,Des Moines,41.591087,-93.603729
Kansas,Topeka,39.048191,-95.677956
Kentucky,Frankfort,38.186722,-84.875374
Louisiana,Baton Rouge,30.457069,-91.187393
Maine,Augusta,44.307167,-69.781693
Maryland,Annapolis,38.978764,-76.490936
Massachusetts,Boston,42.358162,-71.063698
Michigan,Lansing,42.733635,-84.555328
Minnesota,St. Paul,44.955097,-93.102211
Mississippi,Jackson,32.303848,-90.182106
Missouri,Jefferson City,38.579201,-92.172935
Montana,Helena,46.585709,-112.018417
Nebraska,Lincoln,40.808075,-96.699654
Nevada,Carson City,39.163914,-119.766121
New Hampshire,Concord,43.206898,-71.537994
New Jersey,Trenton,40.220596,-74.769913
New Mexico,Santa Fe,35.68224,-105.939728
North Carolina,Raleigh,35.78043,-78.639099
North Dakota,Bismarck,46.82085,-100.783318
New York,Albany,42.652843,-73.757874
Ohio,Columbus,39.961346,-82.999069
Oklahoma,Oklahoma City,35.492207,-97.503342
Oregon,Salem,44.938461,-123.030403
Pennsylvania,Harrisburg,40.264378,-76.883598
Rhode Island,Providence,41.830914,-71.414963
South Carolina,Columbia,34.000343,-81.033211
South Dakota,Pierre,44.367031,-100.346405
Tennessee,Nashville,36.16581,-86.784241
Texas,Austin,30.27467,-97.740349
Utah,Salt Lake City,40.777477,-111.888237
Vermont,Montpelier,44.262436,-72.580536
Virginia,Richmond,37.538857,-77.43364
Washington,Olympia,47.035805,-122.905014
West Virginia,Charleston,38.336246,-81.612328
Wisconsin,Madison,43.074684,-89.384445
Wyoming,Cheyenne,41.140259,-104.820236
New York,New York City,40.7128,-74.006
California,Los Angeles,34.0522,-118.2437
Illinois,Chicago,41.8781,-87.6298
Texas,Houston,29.7604,-95.3698
Pennsylvania,Philadelphia,39.9526,-75.1652
Texas,San Antonio,29.4241,-98.4936
California,San Diego,32.7157,-117.1611
Texas,Dallas,32.7767,-96.797
California,San Jose,37.3382,-121.8863
Florida,Jacksonville,30.3322,-81.6557
Texas,Fort Worth,32.7555,-97.3308
California,San Francisco,37.7749,-122.4194
North Carolina,Charlotte,35.2271,-80.8431
Washington,Seattle,47.6062,-122.3321
DC,Washington,38.9072,-77.0369
Texas,El Paso,31.7619,-106.485
Michigan,Detroit,42.3314,-83.0458
Oregon,Portland,45.5051,-122.675